  PID  PPID USER                 ELAPSED COMM
  705     1 bcb              06-03:38:26 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
  706     1 bcb              06-03:38:26 /Applications/Gemini.app/Contents/MacOS/Gemini
  707     1 bcb              06-03:38:26 /System/Applications/TextEdit.app/Contents/MacOS/TextEdit
  708     1 bcb              06-03:38:26 /Applications/LM Studio.app/Contents/MacOS/LM Studio
  709     1 bcb              06-03:38:26 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  710     1 bcb              06-03:38:26 /Applications/Brave Browser.app/Contents/MacOS/Brave Browser
  711     1 bcb              06-03:38:26 /System/Library/PrivateFrameworks/ReplicatorCore.framework/Support/replicatord
  712     1 bcb              06-03:38:26 /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
  714     1 bcb              06-03:38:26 /System/Applications/Contacts.app/Contents/MacOS/Contacts
  715     1 bcb              06-03:38:26 /System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
  716     1 bcb              06-03:38:26 /System/Applications/Mail.app/Contents/MacOS/Mail
  717     1 bcb              06-03:38:26 /System/Applications/Preview.app/Contents/MacOS/Preview
  718     1 bcb              06-03:38:26 /System/Library/PrivateFrameworks/IntlPreferences.framework/Support/localizationswitcherd
  719     1 bcb              06-03:38:26 /System/Applications/Passwords.app/Contents/MacOS/Passwords
  722     1 root             06-03:38:26 /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/WiFiCloudAssetsXPCService.xpc/Contents/MacOS/WiFiCloudAssetsXPCService
  723     1 bcb              06-03:38:26 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  724     1 _applepay        06-03:38:26 /usr/sbin/distnoted
  725     1 bcb              06-03:38:26 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  726     1 bcb              06-03:38:26 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  727     1 bcb              06-03:38:26 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  728     1 bcb              06-03:38:26 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
  731     1 bcb              06-03:38:26 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
  732     1 bcb              06-03:38:26 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  733     1 root             06-03:38:26 /usr/sbin/filecoordinationd
  734     1 bcb              06-03:38:26 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
